"('http://', 'ht', '', '', '', '')"
"('http://', 'ht', '', '/LiveID/SoapServices/v1', '/', 'LiveID/SoapServices/v1')"
"('http://', 'ht', '', '/ws/2004/09/policy', '/', 'ws/2004/09/policy')"
"('http://', 'ht', '', '/ws/2005/02/sc', '/', 'ws/2005/02/sc')"
"('http://', 'ht', '', '/ws/2005/02/trust', '/', 'ws/2005/02/trust')"
"('http://', 'ht', '', '/ws/2005/02/trust/Issue', '/', 'ws/2005/02/trust/Issue')"
"('http://', 'ht', '', '/ws/2005/02/trust/RST/Issue', '/', 'ws/2005/02/trust/RST/Issue')"
"('http://', 'ht', '', '/ws/2005/05/identity', '/', 'ws/2005/05/identity')"
"('http://', 'ht', '', '/ws/2005/05/identity/NoProofKey', '/', 'ws/2005/05/identity/NoProofKey')"
"('http://', 'ht', '', '/wss/2004/01/oasis-200401-wss-wssecurity-secext-1.0.xsd', '/', 'wss/2004/01/oasis-200401-wss-wssecurity-secext-1.0.xsd')"
"('http://', 'ht', '', '/wss/2004/01/oasis-200401-wss-wssecurity-utility-1.0.xsd', '/', 'wss/2004/01/oasis-200401-wss-wssecurity-utility-1.0.xsd')"
"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/#use-with-ide', '/', '#use-with-ide')"
"('https://', 'ht', 's', '/0xZDH/Omnispray', '/', '0xZDH/Omnispray')"
"('https://', 'ht', 's', '/0xZDH/o365spray', '/', '0xZDH/o365spray')"
"('https://', 'ht', 's', '/0xZDH/o365spray/issues/21', '/', '0xZDH/o365spray/issues/21')"
"('https://', 'ht', 's', '/2017/07/24/office365-activesync-username-enumeration', '/', '2017/07/24/office365-activesync-username-enumeration')"
"('https://', 'ht', 's', '/2020/03/17/azure-ad-password-spray-attacks-with-powershell-and-how-to-defend-your-tenant', '/', '2020/03/17/azure-ad-password-spray-attacks-with-powershell-and-how-to-defend-your-tenant')"
"('https://', 'ht', 's', '/3/tutorial/controlflow.html#break-and-continue-statements-and-else-clauses-on-loops', '/', '3/tutorial/controlflow.html#break-and-continue-statements-and-else-clauses-on-loops')"
"('https://', 'ht', 's', '/Gerenios/AADInternals', '/', 'Gerenios/AADInternals')"
"('https://', 'ht', 's', '/Gerenios/AADInternals/blob/master/KillChain_utils.ps1#L93', '/', 'Gerenios/AADInternals/blob/master/KillChain_utils.ps1#L93')"
"('https://', 'ht', 's', '/Macmod', '/', 'Macmod')"
"('https://', 'ht', 's', '/Microsoft-Server-ActiveSync', '/', 'Microsoft-Server-ActiveSync')"
"('https://', 'ht', 's', '/Mr-Un1k0d3r', '/', 'Mr-Un1k0d3r')"
"('https://', 'ht', 's', '/Mr-Un1k0d3r/RedTeamScripts/blob/master/adfs-spray.py', '/', 'Mr-Un1k0d3r/RedTeamScripts/blob/master/adfs-spray.py')"
"('https://', 'ht', 's', '/NestoriSyynimaa', '/', 'NestoriSyynimaa')"
"('https://', 'ht', 's', '/Raikia', '/', 'Raikia')"
"('https://', 'ht', 's', '/Raikia/UhOh365', '/', 'Raikia/UhOh365')"
"('https://', 'ht', 's', '/a/48351410', '/', 'a/48351410')"
"('https://', 'ht', 's', '/a/654002', '/', 'a/654002')"
"('https://', 'ht', 's', '/a/67527682', '/', 'a/67527682')"
"('https://', 'ht', 's', '/autodiscover/autodiscover.json/v1.0', '/', 'autodiscover/autodiscover.json/v1.0')"
"('https://', 'ht', 's', '/autodiscover/autodiscover.xml', '/', 'autodiscover/autodiscover.xml')"
"('https://', 'ht', 's', '/byt3bl33d3r', '/', 'byt3bl33d3r')"
"('https://', 'ht', 's', '/byt3bl33d3r/19a48fff8fdc34cc1dd1f1d2807e1b7f', '/', 'byt3bl33d3r/19a48fff8fdc34cc1dd1f1d2807e1b7f')"
"('https://', 'ht', 's', '/byt3bl33d3r/SprayingToolkit', '/', 'byt3bl33d3r/SprayingToolkit')"
"('https://', 'ht', 's', '/byt3bl33d3r/SprayingToolkit/blob/master/core/utils/time.py', '/', 'byt3bl33d3r/SprayingToolkit/blob/master/core/utils/time.py')"
"('https://', 'ht', 's', '/common/GetCredentialType?mkt=en-US', '/', 'common/GetCredentialType?mkt=en-US')"
"('https://', 'ht', 's', '/common/oauth2/token', '/', 'common/oauth2/token')"
"('https://', 'ht', 's', '/dafthack', '/', 'dafthack')"
"('https://', 'ht', 's', '/dafthack/MSOLSpray', '/', 'dafthack/MSOLSpray')"
"('https://', 'ht', 's', '/docs/basic-usage/#commit-your-poetrylock-file-to-version-control', '/', 'docs/basic-usage/#commit-your-poetrylock-file-to-version-control')"
"('https://', 'ht', 's', '/ecp/reportingwebservice/reporting.svc', '/', 'ecp/reportingwebservice/reporting.svc')"
"('https://', 'ht', 's', '/en-us/azure/active-directory/develop/reference-aadsts-error-codes', '/', 'en-us/azure/active-directory/develop/reference-aadsts-error-codes')"
"('https://', 'ht', 's', '/enumerating-emails-via-office-com', '/', 'enumerating-emails-via-office-com')"
"('https://', 'ht', 's', '/getuserrealm.srf?login=user', '/', 'getuserrealm.srf?login=user')"
"('https://', 'ht', 's', '/github/gitignore/blob/main/Global/JetBrains.gitignore', '/', 'github/gitignore/blob/main/Global/JetBrains.gitignore')"
"('https://', 'ht', 's', '/gremwell', '/', 'gremwell')"
"('https://', 'ht', 's', '/gremwell/o365enum', '/', 'gremwell/o365enum')"
"('https://', 'ht', 's', '/grimhacker', '/', 'grimhacker')"
"('https://', 'ht', 's', '/grimhacker/office365userenum/src/master', '/', 'grimhacker/office365userenum/src/master')"
"('https://', 'ht', 's', '/nyxgeek', '/', 'nyxgeek')"
"('https://', 'ht', 's', '/nyxgeek/onedrive_user_enum', '/', 'nyxgeek/onedrive_user_enum')"
"('https://', 'ht', 's', '/optiv', '/', 'optiv')"
"('https://', 'ht', 's', '/optiv/Go365', '/', 'optiv/Go365')"
"('https://', 'ht', 's', '/parispjones', '/', 'parispjones')"
"('https://', 'ht', 's', '/premiumsupport/knowledge-center/trace-elb-x-amzn-trace-id', '/', 'premiumsupport/knowledge-center/trace-elb-x-amzn-trace-id')"
"('https://', 'ht', 's', '/rst2.srf', '/', 'rst2.srf')"
"('https://', 'ht', 's', '/secureworks/TokenMan#foci-application-client-id-map', '/', 'secureworks/TokenMan#foci-application-client-id-map')"
"('https://', 'ht', 's', '/sensepost', '/', 'sensepost')"
"('https://', 'ht', 's', '/sensepost/ruler', '/', 'sensepost/ruler')"
"('https://', 'ht', 's', '/sqlmapproject/sqlmap/blob/master/data/txt/user-agents.txt', '/', 'sqlmapproject/sqlmap/blob/master/data/txt/user-agents.txt')"
"('https://', 'ht', 's', '/ustayready/fireprox', '/', 'ustayready/fireprox')"
"('https://', 'ht', 's', '/ustayready/fireprox/issues/32', '/', 'ustayready/fireprox/issues/32')"
"('https://', 'ht', 's', '/xFreed0m', '/', 'xFreed0m')"
"('https://', 'ht', 's', '/xFreed0m/ADFSpray', '/', 'xFreed0m/ADFSpray')"
"('https://', 'ht', 's', '/yeraydiazdiaz/b8c059c6dcfaf3255c65806de39175a7', '/', 'yeraydiazdiaz/b8c059c6dcfaf3255c65806de39175a7')"
"('www.', 'ht', '', '/2003/05/soap-envelope', '/', '2003/05/soap-envelope')"
"('www.', 'ht', '', '/2005/08/addressing', '/', '2005/08/addressing')"
"('www.', 'ht', 's', '/blog/2020/03/user-enumeration-part-2-microsoft-office-365', '/', 'blog/2020/03/user-enumeration-part-2-microsoft-office-365')"
"('www.', 'ht', 's', '/blog/achieving-passive-user-enumeration-with-onedrive', '/', 'blog/achieving-passive-user-enumeration-with-onedrive')"
"('www.', 'ht', 's', '/pages/useragentstring.php?name', '/', 'pages/useragentstring.php?name')"
