"('AnchorStyles.', '', '')"
"('App.', '', '')"
"('Application.', '', '')"
"('ApplicationSettingsBase.', '', '')"
"('Array.', '', '')"
"('AssemblyInfo.', '', '')"
"('AutoScaleMode.', '', '')"
"('AutoTest.', '', '')"
"('BenchmarkDotNet.', '', '')"
"('Binary.', '', '')"
"('BitConverter.', '', '')"
"('Bounds.', '', '')"
"('Buffer.', '', '')"
"('CPU.', '', '')"
"('CSharp.', '', '')"
"('CharSet.', '', '')"
"('ClientLifeTime.', '', '')"
"('ClientToken.', '', '')"
"('CodeAnalysis.', '', '')"
"('Collections.', '', '')"
"('Color.', '', '')"
"('Common.', '', '')"
"('Compiler.', '', '')"
"('CompilerServices.', '', '')"
"('ComponentModel.', '', '')"
"('Configuration.', '', '')"
"('Console.', '', '')"
"('ContentAlignment.', '', '')"
"('Controls.', '', '')"
"('Convert.', '', '')"
"('Data.', '', '')"
"('Debug.', '', '')"
"('Designer.', '', '')"
"('Diagnostics.', '', '')"
"('DotSettings.', '', '')"
"('Drawing.', '', '')"
"('EditorBrowsableState.', '', '')"
"('Environment.', '', '')"
"('FontStyle.', '', '')"
"('FormBorderStyle.', '', '')"
"('FormStartPosition.', '', '')"
"('FormWindowState.', '', '')"
"('Forms.', '', '')"
"('GhostDoc.', '', '')"
"('Globalization.', '', '')"
"('GraphicsUnit.', '', '')"
"('ImageLayout.', '', '')"
"('IntPtr.', '', '')"
"('InternalMonologue.', '', '')"
"('InternalMonologueConsole.', '', '')"
"('InternalMonologueResponse.', '', '')"
"('LayoutKind.', '', '')"
"('LocalMachine.', '', '')"
"('LockScreenForm.', '', '')"
"('LockedLabel.', '', '')"
"('Lsa.', '', '')"
"('MD4.', '', '')"
"('Marshal.', '', '')"
"('Microsoft.', '', '')"
"('ModelManifest.', '', '')"
"('Node.', '', '')"
"('PasswordTextBox.', '', '')"
"('PictureBoxSizeMode.', '', '')"
"('Process.', '', '')"
"('ProfileIcon.', '', '')"
"('Program.', '', '')"
"('Properties.', '', '')"
"('ResourceManager.', '', '')"
"('Resources.', '', '')"
"('Resp1.', '', '')"
"('Responses.', '', '')"
"('Runtime.', '', '')"
"('SID.', '', '')"
"('Screen.', '', '')"
"('Security.', '', '')"
"('ServerToken.', '', '')"
"('Settings.', '', '')"
"('SettingsDesigner.', '', '')"
"('SharpLocker.', '', '')"
"('Soap.', '', '')"
"('StoreAssociation.', '', '')"
"('String.', '', '')"
"('StringExtensions.', '', '')"
"('StringSplitOptions.', '', '')"
"('StyleCopReport.', '', '')"
"('SubmitPasswordButton.', '', '')"
"('System.', '', '')"
"('SystemColors.', '', '')"
"('Taskbar.', '', '')"
"('TestResult.', '', '')"
"('Text.', '', '')"
"('ThisSecBuffer.', '', '')"
"('Threading.', '', '')"
"('Tools.', '', '')"
"('UTF8.', '', '')"
"('UnmanagedType.', '', '')"
"('Untitled-1.', '', '-1')"
"('User.', '', '')"
"('UserNameLabel.', '', '')"
"('VC.', '', '')"
"('VisualState.', '', '')"
"('VisualStudio.', '', '')"
"('Windows.', '', '')"
"('WindowsBuiltInRole.', '', '')"
"('WindowsIdentity.', '', '')"
"('WorkingArea.', '', '')"
"('Xml.', '', '')"
"('ado.', '', '')"
"('adobe.', '', '')"
"('advapi32.', '', '')"
"('arrow.', '', '')"
"('authenticatedUsers.', '', '')"
"('b.', '', '')"
"('ba.', '', '')"
"('base.', '', '')"
"('bim.', '', '')"
"('blob.', '', '')"
"('btm.', '', '')"
"('btp.', '', '')"
"('buffer.', '', '')"
"('build.', '', '')"
"('button.', '', '')"
"('button1.', '', '')"
"('checker.', '', '')"
"('codegen.', '', '')"
"('columns.', '', '')"
"('components.', '', '')"
"('console.', '', '')"
"('context.', '', '')"
"('cwru.', '', '')"
"('dbproj.', '', '')"
"('e.', '', '')"
"('form.', '', '')"
"('github.', '', '')"
"('hash.', '', '')"
"('hex.', '', '')"
"('hexString.', '', '')"
"('hmac.', '', '')"
"('iec.', '', '')"
"('img0.', '', '')"
"('input.', '', '')"
"('kernel32.', '', '')"
"('local.', '', '')"
"('lock.', '', '')"
"('md.', '', '')"
"('md4.', '', '')"
"('microsoft.', '', '')"
"('monologue.', '', '')"
"('monologueConsole.', '', '')"
"('mostLeft.', '', '')"
"('mostTop.', '', '')"
"('netntlmv2.', '', '')"
"('norbert.', '', '')"
"('ntlm.', '', '')"
"('ntlmv2ResponseHash.', '', '')"
"('nuget.', '', '')"
"('object.', '', '')"
"('object.', '', '-microsoft')"
"('odx.', '', '')"
"('originalMessage.', '', '')"
"('packages.', '', '')"
"('paket.', '', '')"
"('parms.', '', '')"
"('process.', '', '')"
"('project.', '', '')"
"('purl.', '', '')"
"('rdl.', '', '')"
"('repositories.', '', '')"
"('response.', '', '')"
"('result.', '', '')"
"('rfc1320.', '', '')"
"('roxen.', '', '')"
"('rptproj.', '', '')"
"('s.', '', '')"
"('sa.', '', '')"
"('sb.', '', '')"
"('screen.', '', '')"
"('secBufferBytes.', '', '')"
"('secur32.', '', '')"
"('settings.', '', '')"
"('sharplocker.', '', '')"
"('siemens.', '', '')"
"('sln.', '', '')"
"('stackoverflow.', '', '')"
"('string.', '', '')"
"('tail.', '', '')"
"('target.', '', '')"
"('temp.', '', '')"
"('text.', '', '')"
"('this.', '', '')"
"('thread.', '', '')"
"('ublish.', '', '')"
"('unicode.', '', '')"
"('user.', '', '')"
"('user32.', '', '')"
"('usericon.', '', '')"
"('utils.', '', '')"
"('value.', '', '')"
"('w3.', '', '')"
"('xmp.', '', '')"
"('xsd.', '', '')"
