"('http://', 'ht', '', '/VisualStudio/2004/01/settings', '/', 'VisualStudio/2004/01/settings')"
"('http://', 'ht', '', '/dc/elements/1.1', '/', 'dc/elements/1.1')"
"('http://', 'ht', '', '/developer/msbuild/2003', '/', 'developer/msbuild/2003')"
"('http://', 'ht', '', '/photoshop/1.0', '/', 'photoshop/1.0')"
"('http://', 'ht', '', '/xap/1.0', '/', 'xap/1.0')"
"('http://', 'ht', '', '/xap/1.0/mm', '/', 'xap/1.0/mm')"
"('http://', 'ht', '', '/xap/1.0/sType/ResourceEvent', '/', 'xap/1.0/sType/ResourceEvent')"
"('https://', 'ht', 's', '/Pickfordmatt/SharpLocker/blob/master/sharplocker.png?raw=true', '/', 'Pickfordmatt/SharpLocker/blob/master/sharplocker.png?raw=true')"
"('https://', 'ht', 's', '/github/gitignore/blob/master/VisualStudio.gitignore', '/', 'github/gitignore/blob/master/VisualStudio.gitignore')"
"('https://', 'ht', 's', '/github/gitignore/pull/1529#issuecomment-104372622', '/', 'github/gitignore/pull/1529#issuecomment-104372622')"
"('https://', 'ht', 's', '/github/gitignore/pull/2483#issue-259490424', '/', 'github/gitignore/pull/2483#issue-259490424')"
"('https://', 'ht', 's', '/novotnyllc/cifs/blob/master/Cifs/MD4.cs', '/', 'novotnyllc/cifs/blob/master/Cifs/MD4.cs')"
"('https://', 'ht', 's', '/opdsealey/NetNTLMv2PasswordChecker', '/', 'opdsealey/NetNTLMv2PasswordChecker')"
"('https://', 'ht', 's', '/opdsealey/NetNTLMv2PasswordChecker/blob/master/NetNTLMv2Checker/Program.cs', '/', 'opdsealey/NetNTLMv2PasswordChecker/blob/master/NetNTLMv2Checker/Program.cs')"
"('https://', 'ht', 's', '/questions/311165/how-do-you-convert-a-byte-array-to-a-hexadecimal-string-and-vice-versa', '/', 'questions/311165/how-do-you-convert-a-byte-array-to-a-hexadecimal-string-and-vice-versa')"
"('https://', 'ht', 's', '/questions/321370/how-can-i-convert-a-hex-string-to-a-byte-array', '/', 'questions/321370/how-can-i-convert-a-hex-string-to-a-byte-array')"
"('https://', 'ht', 's', '/questions/3600322/check-if-the-current-user-is-administrator', '/', 'questions/3600322/check-if-the-current-user-is-administrator')"
"('https://', 'ht', 's', '/questions/5613279/c-sharp-hex-to-ascii', '/', 'questions/5613279/c-sharp-hex-to-ascii')"
"('www.', 'ht', '', '', '', '')"
"('www.', 'ht', '', '/1999/02/22-rdf-syntax-ns', '/', '1999/02/22-rdf-syntax-ns')"
"('www.', 'ht', '', '/2001/XMLSchema', '/', '2001/XMLSchema')"
"('www.', 'ht', '', '/XML/1998/namespace', '/', 'XML/1998/namespace')"
"('www.', 'ht', '', '/rfc/rfc1320.html', '/', 'rfc/rfc1320.html')"
