"('A.', '', '')"
"('AssemblyInfo.', '', '')"
"('C.', '', '')"
"('CPU.', '', '')"
"('CSharp.', '', '')"
"('Collections.', '', '')"
"('Common.', '', '')"
"('Console.', '', '')"
"('Data.', '', '')"
"('Entries.', '', '')"
"('FinalPublicKey.', '', '')"
"('Microsoft.', '', '')"
"('MyApplication.', '', '')"
"('Program.', '', '')"
"('Runtime.', '', '')"
"('SharpEventLog.', '', '')"
"('System.', '', '')"
"('USystem.', '', '')"
"('Utilities.', '', '')"
"('VisualStudio.', '', '')"
"('Xml.', '', '')"
"('args.', '', '')"
"('cmd.', '', '')"
"('entries.', '', '')"
"('github.', '', '')"
"('images.', '', '')"
"('ipaddress.', '', '')"
"('log1.', '', '')"
"('microsoft.', '', '')"
"('mscoree.', '', '')"
"('program.', '', '')"
"('sourse.', '', '')"
"('startstr.', '', '')"
"('string.', '', '')"
"('tmpstr.', '', '')"
"('username.', '', '')"
"('vshost.', '', '')"
"('x.', '', '')"
