"('http://', 'ht', '', '', '', '')"
"('http://', 'ht', '', '/developer/msbuild/2003', '/', 'developer/msbuild/2003')"
"('http://', 'ht', '', '/pki/crl/products/microsoftrootcert.crl0T', '/', 'pki/crl/products/microsoftrootcert.crl0T')"
"('https://', 'ht', 's', '/uknowsec/SharpEventLog', '/', 'uknowsec/SharpEventLog')"
"('https://', 'ht', 's', '/uknowsec/SharpEventLog/blob/master/images.png', '/', 'uknowsec/SharpEventLog/blob/master/images.png')"
"('www.', '', '', '/PKI/docs/CPS/default.htm0', '/', 'PKI/docs/CPS/default.htm0')"
"('www.', '', '', '/pki/certs/MicRooCerAut2011_2011_03_22.crt0', '/', 'pki/certs/MicRooCerAut2011_2011_03_22.crt0')"
"('www.', '', '', '/pki/certs/MicrosoftRootCert.crt0', '/', 'pki/certs/MicrosoftRootCert.crt0')"
"('www.', '', '', '/pkiops/certs/MicCodSigPCA2011_2011-07-08.crt0', '/', 'pkiops/certs/MicCodSigPCA2011_2011-07-08.crt0')"
"('www.', '', '', '/pkiops/crl/MicCodSigPCA2011_2011-07-08.crl0a', '/', 'pkiops/crl/MicCodSigPCA2011_2011-07-08.crl0a')"
"('www.', '', '', '/pkiops/docs/primarycps.htm0', '/', 'pkiops/docs/primarycps.htm0')"
"('www.', 'ht', '', '/pki/certs/MicCodSigPCA_08-31-2010.crt0', '/', 'pki/certs/MicCodSigPCA_08-31-2010.crt0')"
"('www.', 'ht', '', '/pki/certs/MicRooCerAut_2010-06-23.crt0', '/', 'pki/certs/MicRooCerAut_2010-06-23.crt0')"
"('www.', 'ht', '', '/pki/certs/MicTimStaPCA_2010-07-01.crt0', '/', 'pki/certs/MicTimStaPCA_2010-07-01.crt0')"
"('www.', 'ht', '', '/pki/certs/MicrosoftTimeStampPCA.crt0', '/', 'pki/certs/MicrosoftTimeStampPCA.crt0')"
