"('C', 'Windows', '')"
"('C', 'Windows\\System32', '')"
"('C', 'gopath', '')"
"('C', 'gopath\\src\\github', '.com')"
"('N', 'n', '')"
"('S', 'n', '')"
"('b', 'x1b5\\x00\\x00\\x1b', '')"
"('c', 'gopath', '')"
"('c', 'gopath\\src\\github', '.com')"
"('c', 'log', '.txt')"
"('c', 'x03\\x0a\\x0c', '')"
"('e', 'n', '')"
"('e', 'x0b\\x03\\x0e\\x06', '')"
"('e', 'x15\\x03\\x0e', '')"
"('f', 'x03\\x09 ', '')"
"('f', 'x03\\x0a\\x0f9\\x03\\x0a\\x0b\\x0a\\x03\\x0a\\x17', '')"
"('g', 'n', '')"
"('g', 'n\\n', '')"
"('m', 'n', '')"
"('n', 'n', '')"
"('p', 'n', '')"
"('s', 'n  ', '')"
"('s', 'n', '')"
"('t', 'n  ', '')"
"('t', 'n', '')"
"('t', 'n\\n', '')"
"('v', 'n', '')"
