"('./...`', '')"
"('github.com/fsnotify/fsnotify`)', '')"
"('github.com/gorilla/mux', '')"
"('github.com/klauspost/cpuid/v2`', '')"
"('github.com/magiconair/properties', '')"
"('github.com/tidwall/buntdb', '')"
"('github.com/tidwall/collate', '')"
"('github.com/tidwall/gjson', '')"
"('github.com/tidwall/match', '')"
"('github.com/tidwall/pretty', '')"
"('go.uber.org/multierr@latest', '')"
"('go.uber.org/zap`', '')"
"('go.uber.org/zap`,', '')"
"('golang.org/x/sys/...', '')"
"('golang.org/x/tools/cmd/stringer', '')"
"('script:', '')"
