"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '0', '', '0', '', '', '', '')"
"('', '', '', '', '', '04', '', '04', '', '', '', '')"
"('', '', '', '', '', '1', '', '1', '', '', '', '')"
"('', '', '', '', '', '2', '', '2', '', '', '', '')"
"('', '', '', '', '', '3', '', '3', '', '', '', '')"
"('', '', '', '', '', '34', '', '34', '', '', '', '')"
"('', '', '', '', '', '4', '', '4', '', '', '', '')"
"('', '', '', '', '', '48', '', '48', '', '', '', '')"
"('', '', '', '', '', '5', '', '5', '', '', '', '')"
"('', '', '', '', '', '6', '', '6', '', '', '', '')"
"('', '', '', '', '', '7', '', '7', '', '', '', '')"
"('', '', '', '', '', '7C', '', '7C', '', '', '', '')"
"('', '', '', '', '', '8', '', '8', '', '', '', '')"
"('', '', '', '', '', '9', '', '9', '', '', '', '')"
"('', '', '', '', '', 'A', '', 'A', '', '', '', '')"
"('', '', '', '', '', 'AC', '', 'AC', '', '', '', '')"
"('', '', '', '', '', 'Add', '', 'Add', '', '', '', '')"
"('', '', '', '', '', 'B', '', 'B', '', '', '', '')"
"('', '', '', '', '', 'C', '', 'C', '', '', '', '')"
"('', '', '', '', '', 'C7', '', 'C7', '', '', '', '')"
"('', '', '', '', '', 'D', '', 'D', '', '', '', '')"
"('', '', '', '', '', 'De', '', 'De', '', '', '', '')"
"('', '', '', '', '', 'Defa', '', 'Defa', '', '', '', '')"
"('', '', '', '', '', 'E', '', 'E', '', '', '', '')"
"('', '', '', '', '', 'E87', '', 'E87', '', '', '', '')"
"('', '', '', '', '', 'F', '', 'F', '', '', '', '')"
"('', '', '', '', '', 'FA', '', 'FA', '', '', '', '')"
"('', '', '', '', '', 'a', '', 'a', '', '', '', '')"
"('', '', '', '', '', 'ac', '', 'ac', '', '', '', '')"
"('', '', '', '', '', 'add', '', 'add', '', '', '', '')"
"('', '', '', '', '', 'b', '', 'b', '', '', '', '')"
"('', '', '', '', '', 'ba', '', 'ba', '', '', '', '')"
"('', '', '', '', '', 'c', '', 'c', '', '', '', '')"
"('', '', '', '', '', 'c1', '', 'c1', '', '', '', '')"
"('', '', '', '', '', 'c2', '', 'c2', '', '', '', '')"
"('', '', '', '', '', 'ca', '', 'ca', '', '', '', '')"
"('', '', '', '', '', 'ce', '', 'ce', '', '', '', '')"
"('', '', '', '', '', 'd', '', 'd', '', '', '', '')"
"('', '', '', '', '', 'd5', '', 'd5', '', '', '', '')"
"('', '', '', '', '', 'de', '', 'de', '', '', '', '')"
"('', '', '', '', '', 'e', '', 'e', '', '', '', '')"
"('', '', '', '', '', 'e60f', '', 'e60f', '', '', '', '')"
"('', '', '', '', '', 'ea', '', 'ea', '', '', '', '')"
"('', '', '', '', '', 'ec', '', 'ec', '', '', '', '')"
"('', '', '', '', '', 'ed', '', 'ed', '', '', '', '')"
"('', '', '', '', '', 'ef', '', 'ef', '', '', '', '')"
"('', '', '', '', '', 'f', '', 'f', '', '', '', '')"
"('0:', '', '', '', '', '', '', '', '', '', '', '')"
"('0:0:0:0:0:0:', '', '', '', '0:', '0:1', '1', '1', '', '', '', '')"
"('2001:7b8:32a::', '', '', ':', '', '2', '', '2', '', '', '', '')"
"('2001:db8::', '', '', ':', '', '1', '', '1', '', '', '', '')"
"('2606:4700:4700::', '', '', ':', '', '1111', '', '1111', '', '', '', '')"
"('9999:7::', '', '', ':', '', '', '', '', '', '', '', '')"
"('::', '::', '', '', '', '', '', '', '', '', '', '')"
"('::', '::', '', '', '', '1', '', '1', '', '', '', '')"
"('::', '::', '', '', '', 'A', '', 'A', '', '', '', '')"
"('::', '::', '', '', '', 'D', '', 'D', '', '', '', '')"
"('::', '::', '', '', '', 'EFE', '', 'EFE', '', '', '', '')"
"('::', '::', '', '', '', 'ffff', '', 'ffff', '', '', '', '')"
"('fc00::', '', '', ':', '', '', '', '', '', '', '', '')"
"('fe80::', '', '', ':', '', 'cafe', '', 'cafe', '', '', '', '')"
"('fe80::', '', '', ':', '', 'dead', '', 'dead', '', '', '', '')"
"('fe80::4c3:3cff:fe4f:', '', '', '', '', '7e0b', '', '7e0b', '', '', '', '')"
"('ff01::', '', '', ':', '', '114', '', '114', '', '', '', '')"
"('ff02::', '', '', ':', '', '', '', '', '', '', '', '')"
"('ff02::', '', '', ':', '', '114', '', '114', '', '', '', '')"
"('ff02::1:', '', '', '', '', '114', '', '114', '', '', '', '')"
"('ff02::2:', '', '', '', '', '114', '', '114', '', '', '', '')"
"('ff32::8000:', '', '', '', '', '9', '', '9', '', '', '', '')"
