"('Debug(""cache full', 'Debug')"
"('Debug(""certificate expires soon but is already being renewed', 'Debug')"
"('Debug(""certificate has expired, but is already being renewed', 'Debug')"
"('Debug(""certificate not found on disk', 'Debug')"
"('Debug(""new certificate is needed, but is already being obtained', 'Debug')"
"('Debug(""no matching certificate', 'Debug')"
"('Debug(""server rejected our nonce', 'Debug')"
"('Debug(""there is only one chain offered', 'Debug')"
"('Error(""final attempt', 'Error')"
"('Error(""no configuration associated with certificate', 'Error')"
"('Error(""unable to get automation config for certificate', 'Error')"
"('Error(""unable to get configuration to manage certificate', 'Error')"
"('Error(""unable to obtain new to certificate after OCSP status of REVOKED', 'Error')"
"('Info(""certificate expired beyond grace period', 'Info')"
"('Info(""certificate expires soon', 'Info')"
"('Info(""certificate expires soon, but is already renewed in storage', 'Info')"
"('Info(""validations succeeded', 'Info')"
"('error(""api: error:"", error)', 'error')"
