"('EDCHPXV(x)        1016(x)', '//')"
"('FS_MAX_KEY_SIZE                 64', '//')"
"('GOSYM_PREFIX _STRINGIFY_(__USER_LABEL_PREFIX__)', '//')"
"('IFT_CARP\t0xf8', '//')"
"('INVOKE_SYSCALL\tINT\t$0x80', '//')"
"('LE_CALL BYTE $0x0D; BYTE $0x76;', '//')"
"('SAVSTACK_ASYNC(x)  336(x)', '//')"
"('SIOCAIFADDR\t_IOW(105, 26, struct oifaliasreq)', '//')"
"('SIOCSIFPHYADDR\t_IOW(105, 70, struct oifaliasreq)', '//')"
"('TIPC_WAIT_FOREVER 0xffffffff', '//')"
"('_GNU_SOURCE', '//')"
"('_HIDIOCGRAWNAME_LEN\t128', '//')"
"('_HIDIOCGRAWPHYS_LEN\t64', '//')"
"('_HIDIOCGRAWUNIQ_LEN\t64', '//')"
"('of PX_PROTO_OE in', '//')"
