"log.Error(""%v"", err"
"log.Error(""Error accepting connection: %s"", err"
"log.Error(""[%s] wrong session token: %s (%s"
"log.Error(""blacklist: %s"", err"
"log.Error(""blacklist: %v"", err"
"log.Error(""blacklist: invalid ip address: %s"", l"
"log.Error(""blacklist: invalid ip/mask address: %s"", l"
"log.Error(""cert_db: failed to load certificate key-pair: %v"", err"
"log.Error(""certificate should not be obtained"", zap.Error(err"
"log.Error(""config: %v"", err"
"log.Error(""database: %v"", err"
"log.Error(""delete: %v"", err"
"log.Error(""failed to load phishlet '%s': %v"", f.Name("
"log.Error(""failed to set up TLS certificates: %s"", err"
"log.Error(""gophish: %s"", err"
"log.Error(""help: %v"", err"
"log.Error(""http_proxy: %s"", err"
"log.Error(""invalid URL: %s"", err"
"log.Error(""invalid parameter syntax at line %d: [%s]"", n, val"
"log.Error(""invalid proxy type selected"""
"log.Error(""invalid syntax: %s"", line"
"log.Error(""invalid url: %s"", err"
"log.Error(""json parameter '%s' value must be of type string"", k"
"log.Error(""loading newly-obtained certificate from storage"", zap.String(""server_name"", name"
"log.Error(""lure: failed to create html redirector response"""
"log.Error(""lure: failed to create redirector data file response"""
"log.Error(""lure: failed to read redirector data file: %s"", err"
"log.Error(""lure: failed to read redirector file: %s"", err"
"log.Error(""lure: redirector file does not exist: %s"", index_found"
"log.Error(""lures: %v"", err"
"log.Error(""lures: user-agent filter regexp is invalid: %v"", err"
"log.Error(""number of csv values do not match number of keys: %v"", params"
"log.Error(""panic"", zap.Any(""error"", err"
"log.Error(""phishlet hostname must end with '%s'"", c.general.Domain"
"log.Error(""phishlet is a template - can't set hostname"""
"log.Error(""phishlet is a template - can't set unauth_url"""
"log.Error(""phishlets: %s"", err"
"log.Error(""phishlets: %v"", err"
"log.Error(""proxy: %v"", err"
"log.Error(""regexp failed to compile: `%s`"", sf.regexp"
"log.Error(""renewing and reloading certificate"", zap.String(""server_name"", name"
"log.Error(""renewing managed certificates"", zap.Error(err"
"log.Error(""run 'test-certs' command to retry"""
"log.Error(""saving email error: %s"", err"
"log.Error(""sessions: %v"", err"
"log.Error(""syntax error at line %d: [%s] %v"", n, l, err"
"log.Error(""syntax error: %v"", err"
"log.Error(""unknown command: %s"", args[0]"
"log.Error(""you need to set server top-level domain, first. type: server your-domain.com"""
